수집방법별(1),2018,2018,2019,2019,2020,2020,2021,2021,2022,2022
수집방법별(1),응답수 (개),비중 (%),응답수 (개),비중 (%),응답수 (개),비중 (%),응답수 (개),비중 (%),응답수 (개),비중 (%)
전체,254,-,199,-,298,-,373,-,2614,-
자사의 데이터 가공(데이터화)에 의한 데이터 확보,121,47.6,71,35.9,54,18.1,50,13.3,499,19.1
마케팅 등 고객 커뮤니케이션을 통한 데이터 수집,15,5.9,32,16.1,49,16.4,46,12.4,322,12.3
"데이터 거래를 통한 데이터 수집(플랫폼, 판매사 등)",72,28.3,26,12.9,21,6.9,22,5.9,86,3.3
온라인 회원 및 고객이 이용 동의한 데이터 수집,164,64.6,23,11.5,63,21.1,93,24.9,965,36.9
공공기관에서 제공되는 데이터 수집,122,48,16,7.9,21,6.9,41,10.9,295,11.3
수집솔루션(tool) 등에 의한 웹데이터 수집,27,10.6,14,6.8,32,10.7,24,6.5,162,6.2
소셜미디어(SNS)·인터넷 등을 통한 데이터 수집,65,25.6,10,5.1,41,13.6,69,18.6,84,3.2
내방객 등 오프라인을 통한 데이터 수집,6,2.4,2,0.8,3,1.1,13,3.5,149,5.7
각종 센서·설비 등을 통해 자동 데이터 수집,11,4.3,2,0.8,15,5.2,15,4,52,2
기타,6,2.4,1,0.6,-,-,-,-,-,-
무응답,30,11.8,3,1.6,-,-,-,-,-,-
