중분류별(1),매출별(1),2015,2016,2017,2018,2019,2020,2021,2022 e)
전체,계,64151,65977,68179,75778,82364,97891,113869,125235
데이터 거래 ,계,2379,2594,2918,4175,-,-,-,-
데이터 거래 ,직접매출,2350,2354,2713,3796,-,-,-,-
데이터 거래 ,광고매출,29,240,205,379,-,-,-,-
데이터 판매·중개 서비스업,계,-,-,-,-,11332,16054,20861,22194
데이터 판매·중개 서비스업,직접매출,-,-,-,-,9844,13206,16678,17782
데이터 판매·중개 서비스업,광고매출,-,-,-,-,1488,2847,4184,4412
정보제공 서비스업,계,58171,59854,61570,67580,71033,81838,93008,103040
정보제공 서비스업,직접매출,10726,11523,12747,22673,30764,38039,49400,53244
정보제공 서비스업,광고매출,47445,48331,48823,44907,40269,43799,43608,49797
데이터 분석 제공,계,3601,3529,3691,4023,-,-,-,-
데이터 분석 제공,직접매출,3052,3051,2878,3633,-,-,-,-
데이터 분석 제공,광고매출,549,478,813,390,-,-,-,-
