,,2016년,2017년,2018년,2019년,2020년,2021년
데이터 처리 및 관리 솔루션 개발·공급업,데이터 수집·연계 솔루션 개발·공급업,399,341,445,504,518,551
,데이터베이스 관리 시스템 솔루션 개발·공급업,155,135,119,146,149,186
,데이터 분석 솔루션 개발·공급업,203,183,239,322,365,446
,데이터 관리 솔루션 개발·공급업,879,854,"1,099","1,059","1,062","1,105"
,데이터 보안 솔루션 개발·공급업,,,150,199,235,302
,빅데이터 통합 플랫폼 솔루션 개발·공급업,65,95,78,126,158,206
,소계,"1,701","1,608","2,130","2,356","2,487","2,796"
데이터 구축 및 컨설팅 서비스업,데이터 구축/가공 서비스업,"1,870","1,594","2,252","2,140","2,158","2,229"
,데이터 관련 컨설팅 서비스업,811,"1,004",419,534,593,729
,소계,"2,681","2,598","2,671","2,674","2,751","2,958"
데이터 판매 및 제공 서비스업,데이터 판매/중개 서비스업,"2,041",310,287,367,494,567
,정보제공 서비스업,303,"2,617","2,065","2,222","2,282","2,419"
,소계,"2,344","2,927","2,352","2,589","2,776","2,986"
데이터산업 전체,,"6,726","7,133","7,153","7,619","8,014","8,740"
