수요처별(1),2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022 e),2022 e),2022 e),2022 e)
수요처별(1),전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업
전체,168582,20805,65412,82364,200024,25133,76999,97891,228986,29843,85274,113869,250527,32723,92570,125235
공공,24805,4337,14743,5726,34256,6333,15604,12319,35342,5277,20512,9553,37961,5730,21691,10540
금융,24607,2581,8624,13402,22942,3041,10441,9460,31192,2719,15332,13140,34669,3284,16673,14712
제조·건설,26656,3898,14661,8096,24361,3851,12436,8075,35330,6485,18820,10025,39273,7204,20325,11744
유통,36229,3344,13016,19869,17351,1310,5657,10383,22671,2615,6087,13970,25936,2748,6553,16636
서비스,-,-,-,-,30263,4189,7867,18207,40893,5432,5960,29501,44216,6038,7096,31082
의료,4445,585,2195,1665,2385,943,997,444,3764,992,1130,1642,3144,710,1210,1225
통신·미디어,20834,2862,5030,12942,40439,3446,16132,20861,31200,3820,10903,16476,34006,4074,11946,17986
교육,7718,453,2231,5033,9200,506,3896,4798,9374,1365,2585,5425,11177,1741,3006,6431
기타,23288,2745,4913,15630,18826,1513,3969,13344,19221,1139,3946,14136,20144,1195,4070,14879
